,mechanic,year,average_rank,amount
441,Modular Board,1982,8249.0,7
442,Modular Board,1983,5933.0,5
443,Modular Board,1984,9545.0,2
444,Modular Board,1985,8977.0,5
445,Modular Board,1986,3901.0,5
446,Modular Board,1987,9857.0,8
447,Modular Board,1988,8916.0,6
448,Modular Board,1989,5996.0,7
449,Modular Board,1990,4898.0,6
450,Modular Board,1991,10587.0,7
451,Modular Board,1992,12547.0,6
452,Modular Board,1993,7792.0,13
453,Modular Board,1994,9956.0,6
454,Modular Board,1995,5476.0,12
455,Modular Board,1996,9531.0,8
456,Modular Board,1997,7855.0,11
457,Modular Board,1998,12227.0,13
458,Modular Board,1999,6521.0,15
459,Modular Board,2000,6313.0,14
460,Modular Board,2001,8973.0,25
461,Modular Board,2002,9072.0,29
462,Modular Board,2003,8506.0,36
463,Modular Board,2004,5822.0,34
464,Modular Board,2005,7802.0,39
465,Modular Board,2006,7564.0,44
466,Modular Board,2007,7588.0,31
467,Modular Board,2008,6445.0,47
468,Modular Board,2009,7339.0,37
469,Modular Board,2010,6410.0,59
470,Modular Board,2011,5303.0,68
471,Modular Board,2012,6337.0,61
472,Modular Board,2013,6458.0,77
473,Modular Board,2014,5803.0,76
474,Modular Board,2015,5747.0,112
475,Modular Board,2016,6225.0,92
476,Modular Board,2017,5329.0,119
477,Modular Board,2018,5466.0,96
478,Modular Board,2019,6263.0,36
479,Modular Board,2020,8991.0,2
480,Partnerships,1981,7393.0,3
481,Partnerships,1982,7927.0,4
482,Partnerships,1983,6750.0,3
483,Partnerships,1984,11197.0,1
484,Partnerships,1985,7696.0,3
485,Partnerships,1986,9287.0,5
486,Partnerships,1987,9853.0,5
487,Partnerships,1988,9392.0,6
488,Partnerships,1989,4222.0,4
489,Partnerships,1990,7777.0,5
490,Partnerships,1991,8824.0,7
491,Partnerships,1992,10114.0,8
492,Partnerships,1993,11412.0,5
493,Partnerships,1994,13818.0,5
494,Partnerships,1995,6580.0,5
495,Partnerships,1996,8645.0,6
496,Partnerships,1997,9373.0,7
497,Partnerships,1998,7397.0,5
498,Partnerships,1999,6636.0,10
499,Partnerships,2000,8197.0,10
500,Partnerships,2001,10226.0,17
501,Partnerships,2002,9148.0,12
502,Partnerships,2003,8327.0,11
503,Partnerships,2004,7021.0,18
504,Partnerships,2005,7430.0,16
505,Partnerships,2006,8073.0,18
506,Partnerships,2007,9505.0,24
507,Partnerships,2008,6274.0,22
508,Partnerships,2009,6057.0,30
509,Partnerships,2010,6798.0,37
510,Partnerships,2011,5870.0,30
511,Partnerships,2012,6448.0,37
512,Partnerships,2013,5519.0,47
513,Partnerships,2014,7263.0,38
514,Partnerships,2015,5705.0,53
515,Partnerships,2016,7304.0,64
516,Partnerships,2017,5834.0,43
517,Partnerships,2018,5686.0,51
518,Partnerships,2019,7152.0,7
519,Partnerships,2020,7152.0,0
520,Point to Point Movement,1981,7951.0,7
521,Point to Point Movement,1982,11870.0,5
522,Point to Point Movement,1983,7954.0,5
523,Point to Point Movement,1984,14698.0,5
524,Point to Point Movement,1985,9800.0,6
525,Point to Point Movement,1986,10036.0,8
526,Point to Point Movement,1987,9638.0,6
527,Point to Point Movement,1988,10462.0,6
528,Point to Point Movement,1989,8556.0,4
529,Point to Point Movement,1990,15553.0,4
530,Point to Point Movement,1991,9871.0,8
531,Point to Point Movement,1992,10988.0,3
532,Point to Point Movement,1993,9083.0,9
533,Point to Point Movement,1994,10826.0,5
534,Point to Point Movement,1995,12361.0,4
535,Point to Point Movement,1996,7244.0,6
536,Point to Point Movement,1997,4802.0,2
537,Point to Point Movement,1998,7993.0,8
538,Point to Point Movement,1999,4380.0,5
539,Point to Point Movement,2000,10008.0,9
540,Point to Point Movement,2001,9085.0,11
541,Point to Point Movement,2002,5969.0,10
542,Point to Point Movement,2003,8413.0,19
543,Point to Point Movement,2004,7824.0,21
544,Point to Point Movement,2005,5991.0,15
545,Point to Point Movement,2006,7718.0,22
546,Point to Point Movement,2007,8328.0,14
547,Point to Point Movement,2008,4435.0,19
548,Point to Point Movement,2009,6138.0,31
549,Point to Point Movement,2010,5294.0,37
550,Point to Point Movement,2011,7660.0,30
551,Point to Point Movement,2012,6084.0,38
552,Point to Point Movement,2013,5836.0,35
553,Point to Point Movement,2014,6458.0,36
554,Point to Point Movement,2015,5554.0,48
555,Point to Point Movement,2016,6636.0,51
556,Point to Point Movement,2017,5725.0,37
557,Point to Point Movement,2018,4392.0,33
558,Point to Point Movement,2019,8249.0,5
559,Point to Point Movement,2020,8249.0,0
560,Roll and Move,1981,12823.0,15
561,Roll and Move,1982,14467.0,18
562,Roll and Move,1983,14350.0,14
563,Roll and Move,1984,13647.0,17
564,Roll and Move,1985,11292.0,16
565,Roll and Move,1986,12482.0,24
566,Roll and Move,1987,13953.0,20
567,Roll and Move,1988,12558.0,31
568,Roll and Move,1989,13706.0,23
569,Roll and Move,1990,13747.0,19
570,Roll and Move,1991,12747.0,22
571,Roll and Move,1992,11806.0,18
572,Roll and Move,1993,13116.0,14
573,Roll and Move,1994,12184.0,12
574,Roll and Move,1995,14214.0,14
575,Roll and Move,1996,14562.0,26
576,Roll and Move,1997,14656.0,15
577,Roll and Move,1998,13726.0,27
578,Roll and Move,1999,14544.0,23
579,Roll and Move,2000,14133.0,34
580,Roll and Move,2001,12966.0,26
581,Roll and Move,2002,12514.0,45
582,Roll and Move,2003,13001.0,37
583,Roll and Move,2004,13473.0,40
584,Roll and Move,2005,14240.0,51
585,Roll and Move,2006,14235.0,33
586,Roll and Move,2007,11943.0,35
587,Roll and Move,2008,11851.0,41
588,Roll and Move,2009,12366.0,39
589,Roll and Move,2010,11897.0,30
590,Roll and Move,2011,11415.0,30
591,Roll and Move,2012,10473.0,26
